job,kind,state,source,branch,gradient_l2,clip_coefficient,master_update_l2,bf16_l2,bf16_nonzero_fraction,bf16_fraction_above_1e5
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,zero_gradient,0.0,1.0,0.0027722796568962543,0.025076689644376968,0.0018186612287449657,0.00035150342672425334
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,sampled_pg,118.62679007404506,0.008429798959796654,0.002959989853105536,0.025525955384025703,0.0019158415331968655,0.0003711259369147073
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,student_topk,94.68520732256381,0.01056131171611624,0.0029655617670364567,0.02553920830027879,0.0019181146105428423,0.00037174317244051327
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,topk_intersection,94.58660534678569,0.010572321374272275,0.0029651619180458577,0.02553250812726964,0.0019177618214993731,0.0003716443682602995
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,teacher_topk,94.52107592917005,0.010579650935942637,0.0029650655627676097,0.025531609202269042,0.0019177048637954851,0.0003716315818369777
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,full_vocab,94.67921449538225,0.01056198020619185,0.00296562795040143,0.025541591379313656,0.001918234337961219,0.00037178036930835847
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,sampled_pg_draw1,156.1887039692534,0.006402511629742084,0.002957357077058083,0.025502698168643537,0.0019147773540558572,0.000370377349949323
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,sampled_pg_draw2,96.30190180142728,0.010384010812974083,0.002962816180309572,0.025496159507979073,0.0019169737128619032,0.0003712067238620585
density-m-pg250-draw43,density,m-pg250,raw/density-m-pg250-draw43/measurements.json,sampled_pg_draw3,111.71176083648577,0.008951608886660615,0.002955945867769261,0.025507925497341506,0.0019132778553208483,0.0003704488376797129
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,zero_gradient,0.0,1.0,0.0027722796568962543,0.025076689644376968,0.0018186612287449657,0.00035150342672425334
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,sampled_pg,124.74362067745926,0.008016441935489328,0.0029400624272611494,0.025422849796990644,0.0019061424499062342,0.0003684210271810904
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,student_topk,49.531761755634435,0.0201890654474284,0.0029585881192691348,0.02550595175489994,0.0019164878287756756,0.0003700501337524974
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,topk_intersection,48.43033525215967,0.02064821509380717,0.0029541449788931303,0.02548572801256404,0.0019136230887505364,0.000369530540004785
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,teacher_topk,47.827177293454504,0.020908613798294208,0.0029504566067175926,0.025476163118603512,0.0019112564380338866,0.00036907197236838113
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,full_vocab,50.31087498585002,0.019876417979310296,0.002960337352726203,0.02551212551367228,0.0019175264350700402,0.0003702523917214056
density-m-pg250-draw44,density,m-pg250,raw/density-m-pg250-draw44/measurements.json,sampled_pg_draw1,201.85340770120607,0.004954090230302983,0.002914513069284727,0.025408946359109678,0.001894162733655845,0.0003659148882100213
